Id,SLCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,location,Cube_of_SepalWidthCm
1,5.1,3.5,1,0.2,Iris-setosa,Pune,42.875
2,4.9,3.0,1,0.2,Iris-setosa,Pune,27.0
3,4.7,3.2,1,0.2,Iris-setosa,Pune,32.76800000000001
4,4.6,3.1,1,0.2,Iris-setosa,Pune,29.791000000000004
5,5.0,3.6,1,0.2,Iris-setosa,Pune,46.656000000000006
6,5.4,3.9,1,0.4,Iris-setosa,Pune,59.318999999999996
7,4.6,3.4,1,0.3,Iris-setosa,Pune,39.303999999999995
8,5.0,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
9,4.4,2.9,1,0.2,Iris-setosa,Pune,24.389
10,4.9,3.1,1,0.1,Iris-setosa,Pune,29.791000000000004
11,5.4,3.7,1,0.2,Iris-setosa,Pune,50.653000000000006
12,4.8,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
13,4.8,3.0,1,0.1,Iris-setosa,Pune,27.0
14,4.3,3.0,1,0.1,Iris-setosa,Pune,27.0
15,5.8,4.0,1,0.2,Iris-setosa,Pune,64.0
16,5.7,4.4,1,0.4,Iris-setosa,Pune,85.18400000000003
17,5.4,3.9,1,0.4,Iris-setosa,Pune,59.318999999999996
18,5.1,3.5,1,0.3,Iris-setosa,Pune,42.875
19,5.7,3.8,1,0.3,Iris-setosa,Pune,54.87199999999999
20,5.1,3.8,1,0.3,Iris-setosa,Pune,54.87199999999999
21,5.4,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
22,5.1,3.7,1,0.4,Iris-setosa,Pune,50.653000000000006
23,4.6,3.6,1,0.2,Iris-setosa,Pune,46.656000000000006
24,5.1,3.3,1,0.5,Iris-setosa,Pune,35.937
25,4.8,3.4,1,0.2,Iris-setosa,Pune,39.303999999999995
26,5.0,3.0,1,0.2,Iris-setosa,Pune,27.0
27,5.0,3.4,1,0.4,Iris-setosa,Pune,39.303999999999995
28,5.2,3.5,1,0.2,Iris-setosa,Pune,42.875
